annee,gov_latin,gouvernorat,nombre,superficie_ha
2015,Kef,الكاف,47,132.222
2015,Siliana,سليانة,42,87.87
2015,Kasserine,القصرين,13,22.0825
2015,Sidi Bouzid,سيدي بوزيد,9,17.1106
2015,Kairouan,القيروان,22,34.714
2015,Gafsa,قفصة,8,4.0525
2015,Sousse,سوسة,2,0.055
2015,Sfax,صفاقس,1,2.0
2015,Mahdia,المهدية,0,0.0
2015,Monastir,المنستير,0,0.0
2015,Gabes,قابس,2,1.0
2015,Tozeur,توزر,0,0.0
2015,Tataouine,تطاوين,0,0.0
2015,Medenine,مدنين,0,0.0
2015,Kebili,قبلي,1,0.5
2016,Tunis,تونس,0,0.0
2016,Ariana,أريانة,15,36.58
2016,Ben Arous,بن عروس,7,37.25
2016,Manouba,منوبة,3,6.75
2016,Nabeul,نابل,8,7.33
2016,Zaghouan,زغوان,31,47.397
2016,Bizerte,بنزرات,43,44.79
2016,Beja,باجة,44,76.58
2016,Jendouba,جندوبة,139,125.292
2016,Kef,الكاف,20,792.305
2016,Siliana,سليانة,45,638.8836
2016,Kasserine,القصرين,17,8.688
2016,Sidi Bouzid,سيدي بوزيد,0,0.0
2016,Kairouan,القيروان,27,58.28
2016,Gafsa,قفصة,0,0.0
2016,Sousse,سوسة,0,0.0
2016,Sfax,صفاقس,0,0.0
2016,Mahdia,المهدية,0,0.0
2016,Monastir,المنستير,0,0.0
2016,Gabes,قابس,0,0.0
2016,Tozeur,توزر,0,0.0
2016,Tataouine,تطاوين,0,0.0
2016,Medenine,مدنين,0,0.0
2016,Kebili,قبلي,0,0.0
2017,Tunis,تونس,2,0.75
2017,Ariana,أريانة,10,4.25
2017,Ben Arous,بن عروس,7,2.77
2017,Manouba,منوبة,2,2.005
2017,Nabeul,نابل,17,6.884
2017,Zaghouan,زغوان,18,546.597
2017,Bizerte,بنزرات,70,4394.661
2017,Beja,باجة,41,516.769
2017,Jendouba,جندوبة,97,1857.579
2017,Kef,الكاف,26,157.43
2017,Siliana,سليانة,45,2526.789
2017,Kasserine,القصرين,16,1017.521
2017,Sidi Bouzid,سيدي بوزيد,0,0.0
2017,Kairouan,القيروان,50,230.258
2017,Gafsa,قفصة,0,0.0
2017,Sousse,سوسة,0,0.0
2017,Sfax,صفاقس,0,0.0
2017,Mahdia,المهدية,0,0.0
2017,Monastir,المنستير,0,0.0
2017,Gabes,قابس,0,0.0
2017,Tozeur,توزر,0,0.0
2017,Tataouine,تطاوين,0,0.0
2017,Medenine,مدنين,0,0.0
2017,Kebili,قبلي,0,0.0
2018,Tunis,تونس,2,0.8
2018,Ariana,أريانة,9,35.875
2018,Ben Arous,بن عروس,4,5.5
2018,Manouba,منوبة,0,0.0
2018,Nabeul,نابل,11,35.186
2018,Zaghouan,زغوان,14,17.049
2018,Bizerte,بنزرات,19,6.619
2018,Beja,باجة,55,76.149
2018,Jendouba,جندوبة,10,29.139
2018,Kef,الكاف,4,155.05
2018,Siliana,سليانة,25,710.205
2018,Kasserine,القصرين,11,1.995
2018,Sidi Bouzid,سيدي بوزيد,0,0.0
2018,Kairouan,القيروان,2,8.0
2018,Gafsa,قفصة,0,0.0
2018,Sousse,سوسة,0,0.0
2018,Sfax,صفاقس,0,0.0
2018,Mahdia,المهدية,0,0.0
2018,Monastir,المنستير,0,0.0
2018,Gabes,قابس,0,0.0
2018,Tozeur,توزر,0,0.0
2018,Tataouine,تطاوين,0,0.0
2018,Medenine,مدنين,0,0.0
2018,Kebili,قبلي,0,0.0
2019,Tunis,تونس,0,0.0
2019,Ariana,أريانة,8,26.654
2019,Ben Arous,بن عروس,4,10.25
2019,Manouba,منوبة,1,10.0
2019,Nabeul,نابل,13,191.042
2019,Zaghouan,زغوان,11,5.207
2019,Bizerte,بنزرات,14,1.556
2019,Beja,باجة,18,204.91
2019,Jendouba,جندوبة,23,74.737
2019,Kef,الكاف,7,8.07
2019,Siliana,سليانة,9,12.58
2019,Kasserine,القصرين,13,1179.536
2019,Sidi Bouzid,سيدي بوزيد,0,0.0
2019,Kairouan,القيروان,12,54.56
2019,Gafsa,قفصة,0,0.0
2019,Sousse,سوسة,0,0.0
2019,Sfax,صفاقس,0,0.0
2019,Mahdia,المهدية,0,0.0
2019,Monastir,المنستير,0,0.0
2019,Gabes,قابس,0,0.0
2019,Tozeur,توزر,0,0.0
2019,Tataouine,تطاوين,0,0.0
2019,Medenine,مدنين,0,0.0
2019,Kebili,قبلي,0,0.0
2020,Tunis,تونس,3,0.3
2020,Ariana,أريانة,8,17.0
2020,Ben Arous,بن عروس,4,4.1
2020,Manouba,منوبة,9,40.26
2020,Nabeul,نابل,17,68.71
2020,Zaghouan,زغوان,17,35.4
2020,Bizerte,بنزرات,74,526.191
2020,Beja,باجة,97,1084.49
2020,Jendouba,جندوبة,148,342.481
2020,Kef,الكاف,6,17.07
2020,Siliana,سليانة,32,64.035
2020,Kasserine,القصرين,25,22.026
2020,Sidi Bouzid,سيدي بوزيد,0,0.0
2020,Kairouan,القيروان,17,53.712
2020,Gafsa,قفصة,0,0.0
2020,Sousse,سوسة,0,0.0
2020,Sfax,صفاقس,0,0.0
2020,Mahdia,المهدية,0,0.0
2020,Monastir,المنستير,0,0.0
2020,Gabes,قابس,0,0.0
2020,Tozeur,توزر,0,0.0
2020,Tataouine,تطاوين,0,0.0
