latitude,longitude,acq_date,incendie,t_max,wind_max,precip_sum,h_mean,ndvi,ndwi
36.42530538768158,8.474040338519698,2017-10-13,0,24.9,9.9,0.0,62.650000000000006,0.184,-0.226
36.04695234995228,9.333801379143113,2017-05-01,0,25.9,17.0,0.9,61.150000000000006,0.367,0.009
36.55307790172813,8.318759266335324,2022-09-27,0,24.0,19.5,0.6,64.0,0.504,0.172
36.34620419273004,9.55036703339068,2022-09-12,0,35.7,14.3,0.0,46.45,0.082,-0.15
35.1239,8.92894,2021-06-19,1,37.3,14.7,0.0,44.05,0.308,-0.133
36.93981675220879,9.280289207713434,2020-08-14,0,38.3,20.1,0.0,42.55,0.162,-0.247
35.42935,9.24592,2021-06-22,1,35.8,18.4,0.0,46.3,0.219,-0.093
33.36639,8.55103,2023-03-19,1,22.8,46.6,0.1,65.8,0.096,-0.006
35.453876710977966,8.689398739441321,2024-09-20,0,24.0,10.9,0.6,64.0,0.217,-0.033
34.87072028940269,8.359219850968323,2022-06-20,0,33.0,14.3,0.0,50.5,0.069,-0.111
35.67065701162017,8.761495866073771,2023-09-03,0,31.9,21.0,0.1,52.150000000000006,0.083,-0.145
36.451911830926456,8.328892358173373,2017-08-12,0,27.4,14.7,0.1,58.900000000000006,0.281,-0.151
33.91486,10.06948,2024-01-05,1,21.5,20.9,0.0,67.75,0.097,-0.011
34.72069770098084,8.494811409838986,2024-08-16,0,35.0,25.9,0.0,47.5,0.095,-0.103
35.179204460551226,9.208381084561053,2020-05-22,0,28.9,15.1,0.0,56.650000000000006,0.2,-0.112
36.920967317103546,9.432269923679888,2022-05-26,0,24.4,21.6,5.2,63.400000000000006,0.414,0.176
36.29512909620781,10.23940018805065,2020-09-20,0,32.5,7.8,0.0,51.25,0.244,-0.134
36.53231,10.82422,2020-07-29,1,33.6,14.0,0.0,49.6,0.265,-0.13
36.58061802659981,10.414359563670134,2017-07-04,0,29.4,10.3,0.0,55.900000000000006,0.491,0.09
36.94690410945788,10.903476936818382,2022-07-26,0,34.9,16.1,0.0,47.650000000000006,0.195,-0.097
36.8537841519789,8.655637673645291,2022-10-02,0,24.5,10.0,0.0,63.25,0.406,0.084
36.47139347380429,8.175452376923912,2024-05-17,0,30.3,15.6,0.0,54.55,0.365,0.02
35.2421116785781,8.851384781725795,2021-10-03,0,27.6,14.6,0.0,58.6,0.102,-0.154
36.4619635181071,10.50687654495498,2017-06-27,0,38.1,11.9,0.0,42.85,0.189,-0.139
